"id","semester_nr","statistic_course","ba_program","other_ba","specialization","statistics_1","statistics_2","statistics_3","statistics_4"
87,1,0,"Business Education (Wirtschaftspädagogik) (TUM)",NA,"none",2,1,1,1
88,4,1,"Management and Technology (TUM)",NA,"Computer Engineering",4,3,2,4
89,5,1,"Management and Technology (TUM)",NA,"Electrical and Information Technology",4,1,1,1
90,4,1,"Management and Technology (TUM)",NA,"Informatics",1,1,1,1
91,4,1,"Management and Technology (TUM)",NA,"Informatics",1,1,1,1
92,4,1,"Management and Technology (TUM)",NA,"Chemistry",2,2,1,1
93,4,0,"other","Wirtschaftsinformatik","none",3,3,3,3
94,4,1,"Management and Technology (TUM)",NA,"Informatics",3,3,2,2
95,4,1,"Management and Technology (TUM)",NA,"Informatics",3,2,2,2
96,4,1,"Management and Technology (TUM)",NA,"Informatics",3,3,2,2
97,2,1,"other","MSc. Politics and Technology","none",3,1,1,1
98,4,1,"Management and Technology (TUM)",NA,"Electrical and Information Technology",4,1,1,1
99,1,0,"Business Education (Wirtschaftspädagogik) (TUM)",NA,"none",1,1,1,1
100,4,0,"other","Winfo","Informatics",2,1,1,1
101,4,0,"other","Wirtschaftsinformatik","none",1,1,1,1
102,5,1,"other","Information Systems","Informatics",5,1,1,2
103,4,1,"Management and Technology (TUM)",NA,"Informatics",3,2,1,1
104,4,1,"Management and Technology (TUM)",NA,"Finance and Accounting",4,4,1,3
